County,Brand,Data
CT, BAIC,0
CV, BAIC,0
DB, BAIC,0
DJ, BAIC,0
GL, BAIC,0
GR, BAIC,0
GJ, BAIC,0
HR, BAIC,0
HD, BAIC,0
IL, BAIC,0
IS, BAIC,0
IF, BAIC,0
MM, BAIC,0
MH, BAIC,0
MS, BAIC,0
NT, BAIC,1
OT, BAIC,0
PH, BAIC,0
SJ, BAIC,0
SM, BAIC,0
SB, BAIC,0
SV, BAIC,0
TR, BAIC,0
TM, BAIC,0
TL, BAIC,0
VS, BAIC,0
VL, BAIC,0
VN, BAIC,0
AB, BENTLEY,0
AR, BENTLEY,0
AG, BENTLEY,0
BC, BENTLEY,0
BH, BENTLEY,0
BN, BENTLEY,0
BT, BENTLEY,0
BR, BENTLEY,0
BV, BENTLEY,1
B, BENTLEY,4
BZ, BENTLEY,0
CL, BENTLEY,0
CS, BENTLEY,0
CJ, BENTLEY,0
CT, BENTLEY,3
CV, BENTLEY,0
DB, BENTLEY,0
DJ, BENTLEY,0
GL, BENTLEY,0
GR, BENTLEY,0
GJ, BENTLEY,0
HR, BENTLEY,0
HD, BENTLEY,0
IL, BENTLEY,0
IS, BENTLEY,0
IF, BENTLEY,1
MM, BENTLEY,0
MH, BENTLEY,0
MS, BENTLEY,1
NT, BENTLEY,0
OT, BENTLEY,0
PH, BENTLEY,0
SJ, BENTLEY,0
SM, BENTLEY,0
SB, BENTLEY,0
SV, BENTLEY,0
TR, BENTLEY,0
TM, BENTLEY,1
TL, BENTLEY,0
VS, BENTLEY,0
VL, BENTLEY,0
VN, BENTLEY,0
AB, BMW,115
AR, BMW,203
AG, BMW,342
BC, BMW,195
BH, BMW,214
BN, BMW,130
BT, BMW,117
BR, BMW,106
BV, BMW,196
B, BMW,1190
BZ, BMW,103
CL, BMW,70
CS, BMW,85
CJ, BMW,278
CT, BMW,273
CV, BMW,25
DB, BMW,150
DJ, BMW,341
GL, BMW,156
GR, BMW,108
GJ, BMW,188
HR, BMW,55
HD, BMW,144
IL, BMW,92
IS, BMW,214
IF, BMW,276
MM, BMW,150
MH, BMW,106
MS, BMW,164
NT, BMW,99
OT, BMW,163
PH, BMW,239
SJ, BMW,168
SM, BMW,106
SB, BMW,169
SV, BMW,196
TR, BMW,98
TM, BMW,262
TL, BMW,49
VS, BMW,96
VL, BMW,160
VN, BMW,82
AB, BUICK,0
AR, BUICK,0
AG, BUICK,0
BC, BUICK,0
BH, BUICK,0
BN, BUICK,0
BT, BUICK,0
BR, BUICK,0
BV, BUICK,0
B, BUICK,0
BZ, BUICK,0
CL, BUICK,0
CS, BUICK,0
CJ, BUICK,0
CT, BUICK,0
CV, BUICK,0
DB, BUICK,0
DJ, BUICK,1
GL, BUICK,0
GR, BUICK,0
GJ, BUICK,0
HR, BUICK,0
HD, BUICK,0
IL, BUICK,0
IS, BUICK,0
IF, BUICK,0
MM, BUICK,0
MH, BUICK,0
MS, BUICK,0
NT, BUICK,0
OT, BUICK,0
PH, BUICK,0
SJ, BUICK,0
SM, BUICK,0
SB, BUICK,0
SV, BUICK,0
TR, BUICK,0
TM, BUICK,0
TL, BUICK,0
VS, BUICK,0
VL, BUICK,0
VN, BUICK,0
